Year,Ethnicity,Sex,Cause of Death,Count
2007,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,76
2007,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,218
2007,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,189
2007,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),56
2007,HISPANIC,MALE,MALIGNANT NEOPLASMS,1013
2007,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,56
2007,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",39
2007,HISPANIC,MALE,PARKINSONS DISEASE,7
2007,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,183
2007,HISPANIC,MALE,RESPIRATORY DISTRESS OF NEWBORN,7
2007,HISPANIC,MALE,SEPTICEMIA,31
2007,HISPANIC,MALE,SHORT GESTATION/LBW,13
2007,HISPANIC,MALE,VIRAL HEPATITIS,90
2007,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,87
2007,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,41
2007,NON-HISPANIC BLACK,FEMALE,ANEMIAS,18
2007,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,25
2007,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),41
2007,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,30
2007,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,38
2007,NON-HISPANIC BLACK,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,16
2007,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,279
2007,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,33
2007,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,163
2007,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",37
2007,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,358
2007,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2722
2007,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,166
2007,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,248
2007,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,295
2007,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),20
2007,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1800
2007,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",80
2007,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",25
2007,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,87
2007,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,89
2007,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,15
2007,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,32
2007,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,158
2007,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,18
2007,NON-HISPANIC BLACK,MALE,ANEMIAS,19
2007,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,33
2007,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),267
2007,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,29
2007,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,22
2007,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,24
2007,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,213
2007,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,78
2007,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,137
2007,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33
2007,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,246
2007,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2121
2007,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,137
2007,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,377
2007,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,230
2007,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),58
2007,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1523
2007,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,49
2007,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",58
2007,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,13
2007,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,163
2007,NON-HISPANIC BLACK,MALE,SEPTICEMIA,67
2007,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,20
2007,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,60
2007,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,162
2007,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,107
2007,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,37
2007,NON-HISPANIC WHITE,FEMALE,ASSAULT (HOMICIDE),12
2007,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,39
2007,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,60
2007,NON-HISPANIC WHITE,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,12
2007,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,372
2007,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,18
2007,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,54
2007,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,472
2007,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",40
2007,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,231
2007,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,7050
2007,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,155
2007,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,40
2007,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,659
2007,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),64
2007,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3519
2007,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,23
2007,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",89
2007,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,35
2007,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,28
2007,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,85
2007,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,79
2007,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,12
2007,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,36
2007,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,297
2007,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,49
2007,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,73
2007,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),41
2007,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,45
2007,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,75
2007,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,267
2007,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,112
2007,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,345
2007,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",53
2007,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,237
2007,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5632
2007,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,123
2007,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,103
2007,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,530
2007,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),187
2007,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3356
2007,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,72
2007,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",92
2007,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,53
2007,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,19
2007,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,261
2007,NON-HISPANIC WHITE,MALE,SEPTICEMIA,62
2007,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,19
2007,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,83
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,32
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,7
2007,ASIAN & PACIFIC ISLANDER,FEMALE,AORTIC ANEURYSM AND DISSECTION,9
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ATHEROSCLEROSIS,5
2007,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,70
2007,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,29
2007,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,34
2007,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,428
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,22
2007,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,58
2007,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),22
2007,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,396
2007,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",13
2007,ASIAN & PACIFIC ISLANDER,FEMALE,PARKINSONS DISEASE,5
2007,ASIAN & PACIFIC ISLANDER,FEMALE,PEPTIC ULCER,6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,7
2007,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,54
2007,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,5
2007,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,9
2007,ASIAN & PACIFIC ISLANDER,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,5
2007,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,56
2007,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,18
2007,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,43
2007,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",12
2007,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,47
2007,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,497
2007,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,25
2007,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,68
2007,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),38
2007,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,528
2007,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,11
2007,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14
2007,ASIAN & PACIFIC ISLANDER,MALE,PEPTIC ULCER,5
2007,ASIAN & PACIFIC ISLANDER,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,7
2007,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,10
2007,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,12
2007,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,72
2007,HISPANIC,FEMALE,ALZHEIMERS DISEASE,43
2007,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,19
2007,HISPANIC,FEMALE,ASSAULT (HOMICIDE),22
2007,HISPANIC,FEMALE,ATHEROSCLEROSIS,12
2007,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,12
2007,HISPANIC,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,8
2007,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,164
2007,HISPANIC,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,9
2007,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,37
2007,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,116
2007,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",28
2007,HISPANIC,FEMALE,DIABETES MELLITUS,205
2007,HISPANIC,FEMALE,DISEASES OF HEART,1418
2007,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,78
2007,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,109
2007,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,190
2007,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),25
2007,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,969
2007,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",45
2007,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",8
2007,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,48
2007,HISPANIC,FEMALE,SEPTICEMIA,49
2007,HISPANIC,FEMALE,SHORT GESTATION/LBW,13
2007,HISPANIC,FEMALE,VIRAL HEPATITIS,37
2007,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,154
2007,HISPANIC,MALE,ALZHEIMERS DISEASE,11
2007,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,21
2007,HISPANIC,MALE,ASSAULT (HOMICIDE),114
2007,HISPANIC,MALE,ATHEROSCLEROSIS,11
2007,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,20
2007,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,11
2007,HISPANIC,MALE,CEREBROVASCULAR DISEASE,126
2007,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,107
2007,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,106
2007,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",29
2007,HISPANIC,MALE,DIABETES MELLITUS,177
2007,HISPANIC,MALE,DISEASES OF HEART,1327
2007,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,76
2007,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,218
2007,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,189
2007,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),56
2007,HISPANIC,MALE,MALIGNANT NEOPLASMS,1013
2007,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,56
2007,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",39
2007,HISPANIC,MALE,PARKINSONS DISEASE,7
2007,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,183
2007,HISPANIC,MALE,RESPIRATORY DISTRESS OF NEWBORN,7
2007,HISPANIC,MALE,SEPTICEMIA,31
2007,HISPANIC,MALE,SHORT GESTATION/LBW,13
2007,HISPANIC,MALE,VIRAL HEPATITIS,90
2007,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,87
2007,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,41
2007,NON-HISPANIC BLACK,FEMALE,ANEMIAS,18
2007,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,25
2007,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),41
2007,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,30
2007,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,38
2007,NON-HISPANIC BLACK,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,16
2007,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,279
2007,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,33
2007,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,163
2007,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",37
2007,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,358
2007,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2722
2007,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,166
2007,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,248
2007,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,295
2007,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),20
2007,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1800
2007,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",80
2007,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",25
2007,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,87
2007,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,89
2007,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,15
2007,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,32
2007,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,158
2007,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,18
2007,NON-HISPANIC BLACK,MALE,ANEMIAS,19
2007,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,33
2007,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),267
2007,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,29
2007,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,22
2007,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,24
2007,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,213
2007,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,78
